outer_fold,seed_index,config_id,fit_rows,fit_features,validation_rows,projection_components,projection_hash,conditioning_feature,train_conditioning_hash,validation_conditioning_hash,validation_outcomes_used
CV01,6,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,7,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,7,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,7,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,8,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,8,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,8,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,9,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,9,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,9,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,10,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,10,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,10,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,11,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,11,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,11,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,12,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,12,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,12,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,13,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,13,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,13,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,14,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,14,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,14,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,15,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,15,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,15,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,16,EC-GFRK-04-L010,1024,5,6500,4,9af052086f04eb297901aa6cbf12ab9c4447af056f061feae6770dddeca061d1,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,16,EC-GFRK-06-L010,1024,7,6500,6,2d86f932f19a520be10059ca06de498f9c5a1f3ef5fcab51fed5755d34c8b993,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
CV01,16,EC-GFRK-08-L010,1024,9,6500,8,1f7ce321c9ed5f1ce4faf44e64c486e61e119e9a1e8947714d350edcf02928b4,cross_fitted_c06_train_outer_c06_validation,3502466a0ab2389b4e53df6543315b87cf28d23412f605863dbc8ff33cdaea2b,2e44976e49499eb3cc033b53e8308ec15d477ee23720868757d66479c077bdd3,0
